Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
1.48,13,-164627,"Benzeneacetic acid 1,1-dimethylethyl ester",,,Benzeneacetic acid,Isobutene,
1.58,13,-164627,"Benzeneacetic acid 1,1-dimethylethyl ester",,,Benzeneacetic acid,Isobutene,
2.6,-10,,(E)-3-Pentenenitrile,,,Products,,
3.98,14,-251929,3-Butynylbenzene,,,Benzyl,(.)CH2C≡CH,
1.18,-11,,CH3CHCl,,,CH2=CHCl,HCl,
1.83,-12,,CH3CHCl,,,C2H5Cl,CH2=CHCl,
2.02,12,-162132,CH3CHCl,,,CH2=CHCl,H(.),
3.74,13,-171677,CH3CHCl,,,CH2=CHCl,H(.),
3.5,13,-180424,CH3CHCl,,,CH2=CHCl,H(.),
1.58,13,-167952,CH3CHCl,,,CH2=CHCl,H(.),
1.66,-10,,CH3OCH2(.),,,CH3OCH2O(.),,
,,,CH3OCH2(.),,,H2,CH3OC((.))(O),
2.02,1,,CH3OCH2(.),,,HC(O)OCH3,H(.),
,,,CH3OCH2(.),,,HC(O)OCH3,H(.),
,,,CH3OCH2(.),,,CH3OH,HCO,
,,,CH3OCH2(.),,,HC(O)OH,(.)CH3,
,,,CH3OCH2(.),,,CH2O,((.))CH2OH,
,,,CH3OCH2(.),,,CH2O,CH3O(.),
2.56,-10,,CH3OCH2(.),,,Products,,
4.1,-11,,CH3OCH2(.),,,"1,2-Dimethoxyethane",,
1.79,-11,1663,CH3OCH2(.),,,"1,2-Dimethoxyethane",,
2.47,-11,,CH3OCH2(.),,,"1,2-Dimethoxyethane",,
4.65,-8,-75745,CH3OCH2(.),,,CH2O,(.)CH3,
1.6,13,-106425,CH3OCH2(.),,,CH2O,(.)CH3,
1.6,13,-106425,CH3OCH2(.),,,CH2O,(.)CH3,
2.09,-10,-79486,CH3OCH2(.),,,CH2O,(.)CH3,
,,,CH3OCH2(.),,,CH2O,(.)CH3,
1.27,14,-113908,CH3OCH2(.),,,CH2O,(.)CH3,
,,,CH3OCH2(.),,,CH2O,(.)CH3,
2.37,3,-22283,CH2BrCH2,,,C2H4,Br(.),
1.4,23,-23281,CH2BrCH2,,,C2H4,Br(.),
4.97,51,-18791,CH2BrCH2,,,C2H4,Br(.),
4.25,58,-61111,CH2BrCH2,,,C2H4,Br(.),
6.81,10,-27188,CH2BrCH2,,,C2H4,Br(.),
1.66,-11,-12555,CH2CH2Cl,,,CH2=CHCl,HCl,
2.1,-1,,CH2CH2Cl,,,C2H5Cl,CH2=CHCl,
1.0,-1,,CH2CH2Cl,,,C2H5Cl,CH2=CHCl,
5.0,-2,,CH2CH2Cl,,,C2H5Cl,CH2=CHCl,
1.0,-1,,CH2CH2Cl,,,C2H4,CH2ClCH2Cl,
1.7,5,,CH2CH2Cl,,,CH2=CHCl,(.)Cl,
1.4,13,-176267,CH2CH2Cl,,,CH2=CHCl,H(.),
5.25,-5,-78239,CH2CH2Cl,,,C2H4,(.)Cl,
8.27,-5,-77907,CH2CH2Cl,,,C2H4,(.)Cl,
1.66,14,-72835,CH2CH2Cl,,,C2H4,(.)Cl,
1.13,14,-98600,CH2CH2Cl,,,C2H4,(.)Cl,
3.9,13,-90628,CH2CH2Cl,,,C2H4,(.)Cl,
,,,(.)CH2I,,,HNC,HI,
,,,(.)CH2I,,,HCN,HI,
4.0,-11,,(.)CH2I,,,CH2ICH2I,,
5.25,-11,,(.)CH2I,,,CH2ICH2I,,
3.12,-8,-250848,(.)CH2I,,,I,(.)CH2,
,,,(.)CH2Br,,,CD2=CHBr,HCl,
,,,(.)CH2Br,,,CD2=CHCl,HBr,
9.8,-1,,(.)CH2Br,,,Br(.),H2C=N,
9.0,-13,,(.)CH2Br,,,Products,,
,,,(.)CH2Br,,,trans-HCNH,Br(.),
,,,(.)CH2Br,,,H2NC,Br(.),
,,,(.)CH2Br,,,HBrCN,H(.),
,,,(.)CH2Br,,,trans-BrCNH,H(.),
,,,(.)CH2Br,,,CH2=CHBr,HBr,
2.94,-11,,(.)CH2Br,,,Products,,
5.75,14,-251929,"Cyclopropane, 1-methoxy-1-methyl-",,,Products,,
7.67,-6,-147998,HCOO,,,CO,(.)OH,
1.21,14,-142177,HCOO,,,CO,(.)OH,
1.25,-5,-146335,HCOO,,,CO2,H(.),
1.0,13,-138020,HCOO,,,CO2,H(.),
7.8,-13,,n-C3H7O,,,(n-C3H7)-O-O-(n-C3H7),,
6.38,12,-88115,n-C3H7O,,,C2H5CHO,H(.),
1.7,13,-85800,n-C3H7O,,,C2H5CHO,H(.),
3.8,16,,n-C3H7O,,,CH3CHO,(.)C2H5,
2.36,15,-71002,n-C3H7O,,,CH2O,(.)C2H5,
1.58,18,,n-C3H7O,,,CH2O,(.)C2H5,
1.63,19,-31346,n-C3H7O,,,CH2O,(.)C2H5,
1.0,13,-56300,n-C3H7O,,,CH2O,(.)C2H5,
5.01,13,-65269,n-C3H7O,,,CH2O,(.)C2H5,
6.31,13,-81565,n-C3H7O,,,CH2O,(.)C2H5,
4.82,-11,,CH3OC((.))(O),,,CH3OCOCOOCH3,,
,,,CH3OC((.))(O),,,CO,CH3O(.),
1.13,14,-99608,CH3OC((.))(O),,,CO,CH3O(.),
3.27,13,-88379,CH3OC((.))(O),,,CO,CH3O(.),
1.13,14,-197818,CH3OC((.))(O),,,CO,CH3O(.),
5.0,13,-96200,CH3OC((.))(O),,,CO,CH3O(.),
6.0,-4,,CH3OC((.))(O),,,CO,CH3O(.),
,,,CH3OC((.))(O),,,CO,CH3O(.),
,,,CH3OC((.))(O),,,CO2,(.)CH3,
2.9,13,-63521,CH3OC((.))(O),,,CO2,(.)CH3,
2.76,13,-66471,CH3OC((.))(O),,,CO2,(.)CH3,
2.9,13,-126155,CH3OC((.))(O),,,CO2,(.)CH3,
1.9,14,-60200,CH3OC((.))(O),,,CO2,(.)CH3,
1.0,3,,CH3OC((.))(O),,,CO2,(.)CH3,
,,,CH3OC((.))(O),,,CO2,(.)CH3,
2.75,13,-168784,(CH3)3CC(O)OC(CH3)3,,,tert-C4H9COOH,Isobutene,
1.05,13,-165458,(CH3)3CC(O)OC(CH3)3,,,tert-C4H9COOH,Isobutene,
1.0,-12,,DNO,,,D2,NO,
2.18,-15,,DNO,,,D2O,N2O,
6.71,-16,,DNO,,,D2O,N2O,
1.51,13,-217008,H3SiSiH(CH3)2,,,(CH3)2Si,SiH4,
3.16,15,-213682,H3SiSiH(CH3)2,,,(CH3)2SiH2,SiH2,
7.94,13,-154649,"Cyclobutene, 1,3,3-trimethyl-",,,"2,4-dimethylpenta-1,3-diene",,
8.51,13,-151323,"Cyclobutene, 3,3-dimethyl-",,,(CH3)2C=CHCH=CH2,,
5.2,11,-148114,(.)CH2CH2CH2CH2CH=CH2,,,CH3CH(.)CH2CH2CH=CH2,,
2.5,7,-118082,(.)CH2CH2CH2CH2CH=CH2,,,CH3CH(.)CH2CH2CH=CH2,,
5.88,8,-28033,(.)CH2CH2CH2CH2CH=CH2,,,Cyclohexyl,,
1.34,10,-24686,(.)CH2CH2CH2CH2CH=CH2,,,Cyclohexyl,,
1.0,10,-35004,(.)CH2CH2CH2CH2CH=CH2,,,Cyclohexyl,,
1.83,-13,,(.)CH2CH2CH2CH2CH=CH2,,,"1,5-Hexadiene",H(.),
5.01,13,-112478,(.)CH2CH2CH2CH2CH=CH2,,,C2H4,CH2=CHCH2CH2(.),
7.31,13,-132765,(.)CH2CH2CH2CH2CH=CH2,,,C2H4,CH2=CHCH2CH2(.),
1.0,13,-124717,(.)CH2CH2CH2CH2CH=CH2,,,C2H4,CH2=CHCH2CH2(.),
2.74,9,-35761,(.)CH2CH2CH2CH2CH=CH2,,,CH2=CHCH((.))CH2CH2CH3,,
1.01,9,-45954,(.)CH2CH2CH2CH2CH=CH2,,,CH2=CHCH((.))CH2CH2CH3,,
1.2,11,-64015,(.)CH2CH2CH2CH2CH=CH2,,,CH2=CHCH((.))CH2CH2CH3,,
1.0,12,-124717,(.)CH2CH2CH2CH2CH=CH2,,,CH2=CHCH((.))CH2CH2CH3,,
1.0,11,-84808,(.)CH2CH2CH2CH2CH=CH2,,,CH2=C((.))CH2CH2CH2CH3,,
2.8,12,-76992,(.)CH2CH2CH2CH2CH=CH2,,,(.)CH2-cyc-C5H9,,
1.36,9,-19665,(.)CH2CH2CH2CH2CH=CH2,,,(.)CH2-cyc-C5H9,,
4.46,10,-32069,(.)CH2CH2CH2CH2CH=CH2,,,(.)CH2-cyc-C5H9,,
3.57,5,,(.)CH2CH2CH2CH2CH=CH2,,,(.)CH2-cyc-C5H9,,
3.69,10,-142256,(.)CH2CH2CH2CH2CH=CH2,,,CH2=CHCH2C((.))HCH2CH3,,
3.15,10,-97279,"Cyclobutane, cis-1,2-diethenyl-",,,"(Z,Z)-1,5-Cyclooctadiene",,
,,,"Cyclobutane, cis-1,2-diethenyl-",,,"1,5-Cyclooctadiene (unspecified)",,
5.5,12,-174604,iso-C3H7CH2CH2OSO2CH3,,,HOSO2CH3,(CH3)2CHCH=CH2,
1.62,12,-168784,n-C6H13OSO2CH3,,,HOSO2CH3,1-C6H12,
1.79,-10,,(E)-CH3CH=CHCl,,,Products,,
1.49,-10,,(Z)-CH3CH=CHCl,,,Products,,
1.58,12,-231974,"Silacyclopent-3-ene, 1,1,3,4-tetramethyl-",,,Products,,
4.79,12,-187907,"Pyridine, 2-(1-methylethoxy)-",,,CH3CH=CH2,2(1H)-Pyridinone,
3.89,13,-20204,CF3C(O)O,,,CO2,(.)CF3,
1.71,-11,,SF,,,NS,(.)F,
1.69,-10,,SF,,,SO,(.)F,
4.2,-11,,SF,,,Products,,
2.52,-11,,SF,,,S,SF2,
1.92,-3,,"Silacyclopent-3-ene,1,1-dimethyl-",,,"1,3-Butadiene",(CH3)2Si,
3.16,13,-255254,"Silacyclopent-3-ene,1,1-dimethyl-",,,"1,3-Butadiene",(CH3)2Si,
3.16,13,-255254,"Silacyclopent-3-ene,1,1-dimethyl-",,,Products,,
1.58,12,-231974,"Silacyclopent-3-ene,1,1-dimethyl-",,,Products,,
1.55,12,-175435,CH3C(O)OCH2CH2Si(CH3)3,,,CH3C(O)OH,CH2=CHSi(CH3)3,
,,,(CH3)3SiI,,,Other Products,HIO,
5.3,-5,,CHCl2C(O)NC(CH3)3,,,Other Products,CO,
,,,CHCl2C(O)NC(CH3)3,,,Other Products,Isobutene,
3.0,14,-238260,2-pyridinyl,,,C2H2,HCN,(.)C2H
1.0,-10,-1663,H2C=N,,,Products,,
5.0,7,,H2C=N,,,HCN,(.)OH,
,,,H2C=N,,,CH2=NN=CH2,,
2.0,-1,,H2C=N,,,HCN,CH2=NH,
,,,H2C=N,,,C2H4,N2,
7.7,-12,,H2C=N,,,Products,,
5.83,-12,,H2C=N,,,Products,,
,,,H2C=N,,,HCN,H(.),
,,,H2C=N,,,HC=NH,,
,,,H2C=N,,,trans-HCNH,,
7.26,-9,-43900,CH3CH2C(O)(.),,,CO,(.)C2H5,
,,,CH3CH2C(O)(.),,,CO,(.)C2H5,
5.89,12,-60280,CH3CH2C(O)(.),,,CO,(.)C2H5,
2.95,12,-46478,CH3CH2C(O)(.),,,CO,(.)C2H5,
2.09,13,-61527,CH3CH2C(O)(.),,,CO,(.)C2H5,
1.78,22,-46478,CH3CH2C(O)(.),,,CO,(.)C2H5,
1.57,13,-60900,CH3CH2C(O)(.),,,CO,(.)C2H5,
3.2,2,,CH3CH2C(O)(.),,,CO,(.)C2H5,
1.8,14,-65300,CH3CH2C(O)(.),,,CO,(.)C2H5,
,,,CH3CH2C(O)(.),,,CO,(.)C2H5,
,,,CH3CH2C(O)(.),,,Products,,
1.66,-10,,"2,4-Cyclohexadien-1-yl",,,Adduct,,
2.26,-8,-174604,"2,4-Cyclohexadien-1-yl",,,C2H2,CH2=CHCH=CH(.),
6.0,9,-76300,"2,4-Cyclohexadien-1-yl",,,Benzene,H(.),
3.16,13,-118897,"2,4-Cyclohexadien-1-yl",,,Benzene,H(.),
1.3,16,-138852,"2,4-Cyclohexadien-1-yl",,,Benzene,H(.),
5.81,-11,,(.)CH2CH=CHCH3,,,CH2=CHCH(CH3)CH(CH3)CH=CH2,,
1.66,-11,,(.)CH2CH=CHCH3,,,Products,,
6.93,18,-26191,(.)CH2CH=CHCH3,,,"1,3-Butadiene",H(.),
3.16,14,-134694,"3H-Pyrazole, 3-ethenyl-4,5-dihydro-",,,Vinylcyclopropane,N2,
2.4,-2,,"3H-Pyrazole, 3-ethenyl-4,5-dihydro-",,,Vinylcyclopropane,N2,
8.8,-11,,"2,4-dimethylbenzaldehyde",,,Products,,
2.5,12,-60250,CH3CO,,,CO,(.)CH3,
3.87,13,-70698,CH3CO,,,CO,(.)CH3,
5.01,12,-205367,"Cyclobutanecarbonitrile, 3-methylene-",,,CH2CHCN,CH2=C=CH2,
6.31,12,-221996,"1H-Pyrazole, 1-(1,1-dimethylethyl)-",,,Isobutene,Pyrazole,
5.62,13,-231142,"Benzene,(5-chloropentyl)-",,,"Benzene,(4-pentenyl)-",HCl,
3.26,12,-177930,"Thiazole, 2-ethoxy-",,,C2H4,2(3H)-Thiazolone,
,,,"Cyclobutane, 1,2-dimethyl-, trans-",,,"Cyclobutane, 1,2-dimethyl-, cis-",,
2.8,15,-257749,"Cyclobutane, 1,2-dimethyl-, trans-",,,CH3CH=CH2,CH3CH=CH2,
2.9,15,-265232,"Cyclobutane, 1,2-dimethyl-, trans-",,,C2H4,CH3CH=CHCH3,
4.7,15,-259412,"Cyclobutane, 1,2-dimethyl-, trans-",,,Products,,
,,,"Cyclobutane, 1,2-dimethyl-, cis-",,,"Cyclobutane, 1,2-dimethyl-, trans-",,
3.0,15,-252760,"Cyclobutane, 1,2-dimethyl-, cis-",,,CH3CH=CH2,CH3CH=CH2,
3.7,15,-263569,"Cyclobutane, 1,2-dimethyl-, cis-",,,C2H4,CH3CH=CHCH3,
4.8,15,-254423,"Cyclobutane, 1,2-dimethyl-, cis-",,,Products,,
2.8,-5,,CCl3C(O)NC(CH3)3,,,Other Products,CO,
2.8,-6,,CH2ClC(O)NC(CH3)3,,,Other Products,CO,
,,,CH2ClC(O)NC(CH3)3,,,Other Products,Isobutene,
1.26,16,-309298,tert-C4H9CH2CH2Si(CH3)3,,,(CH3)3Si(.),(CH3)3CCH2CH2(.),
7.59,12,-203705,CH3C(O)OCH(CH3)CN,,,CH3C(O)OH,CH2CHCN,
,,,BrO,,,CH3S(O)2,Br(.),
,,,BrO,,,CH2SO,HOBr,
5.0,-11,,BrO,,,BrO2,,
4.1,-11,,BrO,,,O2,Br(.),
1.9,-11,1912,BrO,,,O2,Br(.),
1.9,-11,1912,BrO,,,O2,Br(.),
1.91,-11,1912,BrO,,,O2,Br(.),
1.91,-11,1912,BrO,,,O2,Br(.),
1.69,-11,2162,BrO,,,O2,Br(.),
3.01,-11,,BrO,,,O2,Br(.),
3.01,-11,,BrO,,,O2,Br(.),
1.91,-11,1912,BrO,,,O2,Br(.),
2.51,-11,,BrO,,,O2,Br(.),
6.61,-11,,BrO,,,O2,Br(.),
5.25,-11,-3742,BrO,,,Br(.),BrO2,
8.2,-1,,BrO,,,Br(.),BrO2,
6.9,-1,,BrO,,,Br(.),BrO2,
8.39,-1,,BrO,,,Br(.),BrO2,
1.28,-12,,BrO,,,Br(.),BrO2,
2.09,-12,,BrO,,,Br(.),BrO2,
2.7,-12,,BrO,,,O2,Br(.),Br(.)
2.7,-12,,BrO,,,O2,Br(.),Br(.)
2.7,-12,,BrO,,,O2,Br(.),Br(.)
4.0,-12,-1580,BrO,,,O2,Br(.),Br(.)
4.0,-12,-1580,BrO,,,O2,Br(.),Br(.)
2.19,-12,,BrO,,,O2,Br(.),Br(.)
1.92,-12,1048,BrO,,,O2,Br(.),Br(.)
5.31,-12,-1754,BrO,,,O2,Br(.),Br(.)
2.31,-12,,BrO,,,O2,Br(.),Br(.)
2.49,-12,,BrO,,,O2,Br(.),Br(.)
3.97,-12,-1580,BrO,,,O2,Br(.),Br(.)
2.61,-12,,BrO,,,O2,Br(.),Br(.)
9.58,-13,1871,BrO,,,O2,Br(.),Br(.)
6.39,-12,,BrO,,,O2,Br(.),Br(.)
8.4,-1,,BrO,,,O2,Br(.),Br(.)
,,-1580,BrO,,,O2,Br(.),Br(.)
1.3,2,-8248,BrO,,,O2,Br(.),Br(.)
1.46,1,-2295,BrO,,,O2,Br(.),Br(.)
2.5,-14,6984,BrO,,,Br2,O2,
4.8,-13,,BrO,,,Br2,O2,
2.9,-14,6984,BrO,,,Br2,O2,
4.2,-14,5488,BrO,,,Br2,O2,
4.2,-14,5488,BrO,,,Br2,O2,
4.5,-13,,BrO,,,Br2,O2,
3.4,-13,1505,BrO,,,Br2,O2,
1.13,-14,8173,BrO,,,Br2,O2,
4.0,-13,,BrO,,,Br2,O2,
4.68,-13,,BrO,,,Br2,O2,
4.2,-14,5488,BrO,,,Br2,O2,
5.0,-13,,BrO,,,Br2,O2,
4.7,-13,,BrO,,,Br2,O2,
6.59,-13,,BrO,,,Br2,O2,
2.49,-12,,BrO,,,Br2,O2,
1.5,-1,,BrO,,,Br2,O2,
4.7,-13,,BrO,,,Br2,O2,
5.6,-13,,BrO,,,Br2,O2,
2.76,-12,,BrO,,,Products,,
1.5,-12,1912,BrO,,,Products,,
1.1,-12,2079,BrO,,,Products,,
1.1,-12,2120,BrO,,,Products,,
2.3,-12,1114,BrO,,,Products,,
2.87,-12,,BrO,,,Products,,
1.69,-12,1788,BrO,,,Products,,
2.97,-12,,BrO,,,Products,,
3.11,-12,,BrO,,,Products,,
2.76,-12,,BrO,,,Products,,
3.12,-12,,BrO,,,Products,,
3.2,-12,,BrO,,,Products,,
2.71,-12,,BrO,,,Products,,
1.06,-12,2087,BrO,,,Products,,
2.56,-12,,BrO,,,Products,,
1.84,-12,,BrO,,,Products,,
7.47,-11,,Mn(CO)5,,,Mn2(CO)10,,
4.48,-11,,Mn(CO)5,,,Mn2(CO)10,,
6.15,13,-174679,3-Cyclohexenyl,,,"1,3-Cyclohexadiene",H(.),
2.25,13,-134412,3-Cyclohexenyl,,,CH2=CHCH2CH((.))CH=CH2,,
,,,(E)-HN=NH,,,H2N≡N,,
,,-17544,(E)-HN=NH,,,(Z)-HN=NH,,
1.0,-2,,(E)-HN=NH,,,(Z)-HN=NH,,
,,,(E)-HN=NH,,,(Z)-HN=NH,,
,,-17544,(E)-HN=NH,,,Products,,
3.8,-3,,(E)-HN=NH,,,Products,,
,,,(Z)-HN=NH,,,N2H4,N2,
2.0,13,-197053,CH2=C((.))CH3,,,(.)CH2CH=CH2,,
1.32,13,-199547,CH2=C((.))CH3,,,CH2=C=CH2,H(.),
,,,CH2=C((.))CH3,,,CH2=C=CH2,H(.),
9.55,12,-192896,CH2=C((.))CH3,,,HC≡CCH3,H(.),
,,,CH2=C((.))CH3,,,HC≡CCH3,H(.),
9.0,-14,,O2F,,,O2,FC(O)OF,
2.01,-13,,O2F,,,Products,,
5.0,-11,,O2F,,,O2,OF,
5.0,-11,,O2F,,,O2,OF,
5.0,-11,,O2F,,,O2,OF,
5.0,-11,,O2F,,,O2,OF,
5.0,-11,,O2F,,,O2,OF,
5.0,-11,,O2F,,,O2,OF,
5.0,-11,,O2F,,,O2,OF,
2.04,-6,-54460,O2F,,,O2,F2O2,
2.4,-33,,O2F,,,F2,O2,O2
1.0,-14,,O2F,,,Products,,
1.04,-9,-39993,O2F,,,Products,,
1.5,-17,,O2F,,,O2,(.)F,
8.47,-9,-49804,O2F,,,O2,(.)F,
8.4,-9,-49804,O2F,,,O2,(.)F,
6.29,-9,-48224,O2F,,,O2,(.)F,
1.69,14,-49804,O2F,,,O2,(.)F,
3.1,5,,O2F,,,O2,(.)F,
1.7,14,-49804,O2F,,,O2,(.)F,
2.51,-18,,O2F,,,O2,(.)F,
2.49,-13,,O2F,,,O2,(.)F,
1.02,9,-36168,O2F,,,O2,(.)F,
1.0,9,-125549,O2F,,,O2,(.)F,
9.53,-10,-48972,O2F,,,O2,(.)F,
1.2,-1,,O2F,,,Products,,
1.7,-15,,INO2,,,I2,NO2,NO2
4.7,-13,-13885,INO2,,,I2,NO2,NO2
2.9,-11,-21618,INO2,,,I2,NO2,NO2
2.91,-11,-21618,INO2,,,I2,NO2,NO2
2.91,-11,-21618,INO2,,,I2,NO2,NO2
2.91,-11,-21618,INO2,,,I2,NO2,NO2
2.91,-11,-21618,INO2,,,I2,NO2,NO2
2.91,-11,-21618,INO2,,,I2,NO2,NO2
4.7,-13,-13885,INO2,,,I2,NO2,NO2
6.61,-11,-24278,INO2,,,I2,NO2,NO2
1.55,16,-197053,(E)-(iso-C3H7)-N=N-(iso-C3H7),,,2-C3H7,(CH3)2CHN=N,
1.5,-5,,(E)-(iso-C3H7)-N=N-(iso-C3H7),,,Other Products,N2,
1.59,-13,-41016,ClCH2OH,,,HCl,CH2ClO,
5.76,-13,-6188,ClCH2OH,,,Products,,
4.0,-12,,ClCH2OH,,,ClCH((.))OH,HCl,
7.0,-2,,ClCH2OH,,,ClCH((.))OH,HCl,
5.99,-12,-6005,ClCH2OH,,,ClCH((.))OH,HCl,
1.6,-3,,ClCH2OH,,,CH2O,HCl,
2.63,13,-81149,SiH2=SiH2,,,H3SiSiH,,
,,,SiH2=SiH2,,,H3SiSiH,,
5.01,13,-163795,SiH2=SiH2,,,H3SiSiH,,
1.0,15,-253591,SiH2=SiH2,,,SiH2,SiH2,
,,,SiH2=SiH2,,,H2,Si(H2)Si,
,,,SiH2=SiH2,,,H2,SiSiH2,
2.29,12,-84808,SiH2=SiH2,,,H2,HSi=SiH,
,,,SiH2=SiH2,,,H2,HSi=SiH,
,,,SiH2=SiH2,,,Products,,
1.12,13,-207862,"Benzenamine, N-(1,1-dimethylethyl)-4-methoxy-",,,4-Methoxybenzeneamine,Isobutene,
3.16,14,-210356,"Benzene, 1-(1,1-dimethylethoxy)-4-methoxy-",,,Isobutene,4-Methoxyphenol,
,,,CH(OH)CH=CH2,,,Products,,
2.77,-11,,(CH3)2N(.),,,(CH3)2NN(CH3)2,,
2.41,-11,,(CH3)2N(.),,,(CH3)2NN(CH3)2,,
2.82,-11,,(CH3)2N(.),,,(CH3)2NN(CH3)2,,
3.32,-12,,(CH3)2N(.),,,(CH3)2NH,CH2=NCH3,
3.32,-12,,(CH3)2N(.),,,(CH3)2NH,CH2=NCH3,
1.89,-11,,(CH3)2N(.),,,(CH3)2NH,CH2=NCH3,
,,,"1,1,2,2,3,3,4-Heptafluorocyclopentane",,,Products,,
2.17,13,-196222,"Cyclohexanol, 2-methyl-, acetate,(1R-trans)-",,,CH3C(O)OH,1-Methylcyclohexene,
1.81,13,-196222,"Cyclohexanol, 2-methyl-, acetate,(1R-trans)-",,,CH3C(O)OH,3-methylcyclohexene,
6.31,13,-201210,"Cyclohexanol, 2-methyl-, acetate,(1S-cis)-",,,CH3C(O)OH,3-methylcyclohexene,
1.12,15,-198716,"1H-Tetrazole, 5-ethenyl-1-methyl-",,,Other Products,N2,
2.4,15,-179593,"2H-Tetrazole, 5-ethenyl-2-methyl-",,,Other Products,N2,
1.0,15,-263569,GaMe3:NH3,,,Products,,
1.0,12,-129704,GaMe3:NH3,,,GaMe2NH2,CH4,
1.58,13,-222828,Methyl benzoylformate,,,CH2O,Benzaldehyde,CO
2.88,13,-188739,"(E,E,E)-CH3CH=CHCH=CHCH=CHCH3",,,Products,,
1.45,14,-221165,"Cyclobutane, 1-methyl-3-methylene-",,,CH2=C(CH3)CH2CH=CH2,,
5.99,-11,,FSO3,,,FSO2OCl,,
4.5,-14,,FSO3,,,F2S2O6,,
4.63,-14,,FSO3,,,F2S2O6,,
4.98,-14,,FSO3,,,F2S2O6,,
,,,FSO3,,,F2S2O6,,
7.28,14,-171278,SF5OF,,,(.)F,SF5O,
4.32,-11,,(.)CH2C(CH3)=CH2,,,CH2=C(CH3)CH2CH2C(CH3)=CH2,,
3.32,-11,,(.)CH2C(CH3)=CH2,,,CH2=C(CH3)CH2CH2C(CH3)=CH2,,
8.32,-12,,(.)CH2C(CH3)=CH2,,,CH2=C(CH3)CH2CH2C(CH3)=CH2,,
2.0,13,-209525,(.)CH2C(CH3)=CH2,,,CH2=C=CH2,(.)CH3,
1.45,16,,(.)CH2C(CH3)=CH2,,,CH2=C=CH2,(.)CH3,
1.84,14,-235810,(.)CH2C(CH3)=CH2,,,CH2=C=CH2,(.)CH3,
,,-238000,(.)CH2C(CH3)=CH2,,,CH2=C=CH2,(.)CH3,
4.31,15,-183750,"2-Oxetanone, 3,3-difluoro-4,4-dimethyl-",,,CO2,F2C=C(CH3)2,
2.99,1,-267726,CH2=C(CN),,,HCCCN,H(.),
1.54,6,-352534,CH2=C(CN),,,CN,C2H2,
3.47,15,-262737,"Oxetane-2,2-d2",,,Products,,
,,,InH3,,,H2,InH,
2.34,13,-209525,CH3C(O)O(CH2)4OCH3,,,CH3C(O)OH,CH2=CHCH2CH2OCH3,
3.9,-11,,SCl,,,NS,(.)Cl,
1.2,-10,,SCl,,,SO,(.)Cl,
7.41,-12,,SCl,,,S,SCl2,
1.28,-10,,SCl,,,Products,,
5.99,-12,,ClO,,,CFCl2CH2O(.),ClOO,
3.01,-12,,ClO,,,ClOO,CFCl2O,
,,,ClO,,,CH3S(O)2,(.)Cl,
,,,ClO,,,CH2SO,HOCl,
4.66,-32,-4448,ClO,,,ClClO,,
4.52,-27,-40026,ClO,,,ClClO,,
8.01,-11,-1280,ClO,,,ClClO,,
2.69,-28,-31412,ClO,,,Cl2O,,
8.4,-32,-4166,ClO,,,Cl2O,,
6.78,-11,-782,ClO,,,Cl2O,,
1.74,-12,-38163,ClO,,,Cl2,O(.),
6.5,-12,-39585,ClO,,,Cl2,O(.),
1.5,-13,,ClO,,,Products,,
1.0,13,,ClO,,,Products,,
4.98,-14,,ClO,,,NO,(.)Cl,
2.5,-11,915,ClO,,,O2,(.)Cl,
3.7,-11,,ClO,,,O2,(.)Cl,
3.8,-11,,ClO,,,O2,(.)Cl,
3.01,-11,582,ClO,,,O2,(.)Cl,
3.8,-11,,ClO,,,O2,(.)Cl,
3.01,-11,582,ClO,,,O2,(.)Cl,
3.8,-11,,ClO,,,O2,(.)Cl,
3.8,-11,,ClO,,,O2,(.)Cl,
5.99,-11,-831,ClO,,,O2,(.)Cl,
9.47,-11,-1522,ClO,,,O2,(.)Cl,
3.0,-11,624,ClO,,,O2,(.)Cl,
1.55,-11,2187,ClO,,,O2,(.)Cl,
2.61,-11,807,ClO,,,O2,(.)Cl,
3.5,-11,,ClO,,,O2,(.)Cl,
3.5,-11,,ClO,,,O2,(.)Cl,
4.2,-11,,ClO,,,O2,(.)Cl,
3.39,-11,624,ClO,,,O2,(.)Cl,
7.01,-11,,ClO,,,O2,(.)Cl,
1.07,-10,-807,ClO,,,O2,(.)Cl,
5.3,-11,,ClO,,,O2,(.)Cl,
1.25,-11,,ClO,,,O2,(.)Cl,
1.16,-11,,ClO,,,O2,(.)Cl,
1.38,-11,,ClO,,,O2,(.)Cl,
1.7,-1,2045,ClO,,,O2,(.)Cl,
2.6,1,,ClO,,,O2,(.)Cl,
,,,ClO,,,O2,(.)Cl,
6.2,-32,,ClO,,,Cl2O3,,
6.4,-32,,ClO,,,Cl2O3,,
6.2,-32,,ClO,,,Cl2O3,,
6.2,-32,,ClO,,,Cl2O3,,
6.2,-32,,ClO,,,Cl2O3,,
2.4,-11,,ClO,,,Cl2O3,,
2.4,-11,,ClO,,,Cl2O3,,
2.41,-11,,ClO,,,Cl2O3,,
2.41,-11,,ClO,,,Cl2O3,,
2.41,-11,,ClO,,,Cl2O3,,
6.2,-32,,ClO,,,Cl2O3,,
